CD_REG	NM_REG	NM_REG_LAT	LEV	PARENT_CD_REG	CHANNEL
1013000	РЕСПУБЛИКА МОРДОВИЯ	MORDOVIA REPUBLIC	3	1000005	Розничный аудит
1016000	РЕСПУБЛИКА ТАТАРСТАН	REPUBLIC TATARSTAN	3	1000005	Розничный аудит
1018000	УДМУРТСКАЯ РЕСПУБЛИКА	UDMURT REPUBLIC	3	1000005	Розничный аудит
1021000	ЧУВАШСКАЯ РЕСПУБЛИКА	CHUVASH REPUBLIC	3	1000005	Розничный аудит
1043000	КИРОВСКАЯ ОБЛАСТЬ	KIROV REGION	3	1000005	Розничный аудит
1052000	НИЖЕГОРОДСКАЯ ОБЛАСТЬ	NIZHNIY NOVGOROD REGION	3	1000005	Розничный аудит
1056000	ОРЕНБУРГСКАЯ ОБЛАСТЬ	ORENBURG REGION	3	1000005	Розничный аудит
1058000	ПЕНЗЕНСКАЯ ОБЛАСТЬ	PENZA REGION	3	1000005	Розничный аудит
1059000	ПЕРМСКИЙ КРАЙ	PERM REGION	3	1000005	Розничный аудит
1063000	САМАРСКАЯ ОБЛАСТЬ	SAMARA REGION	3	1000005	Розничный аудит
1064000	САРАТОВСКАЯ ОБЛАСТЬ	SARATOV REGION	3	1000005	Розничный аудит
1073000	УЛЬЯНОВСКАЯ ОБЛАСТЬ	ULYANOVSK REGION	3	1000005	Розничный аудит
1045000	КУРГАНСКАЯ ОБЛАСТЬ	KURGAN REGION	3	1000006	Розничный аудит
1066000	СВЕРДЛОВСКАЯ ОБЛАСТЬ	SVERDLOVSK REGION	3	1000006	Розничный аудит
1072000	ТЮМЕНСКАЯ ОБЛАСТЬ	TYUMEN REGION	3	1000006	Розничный аудит
1074000	ЧЕЛЯБИНСКАЯ ОБЛАСТЬ	CHELYABINSK REGION	3	1000006	Розничный аудит
1086000	ХАНТЫ-МАНСИЙСКИЙ АВТ. ОКРУГ - ЮГРА	KHANTY-MANSI AUT. DISTRICT - UGRA	3	1000006	Розничный аудит
1089000	ЯМАЛО-НЕНЕЦКИЙ АВТ. ОКРУГ	YAMALO-NENETS AUT. DISTRICT	3	1000006	Розничный аудит
1004000	РЕСПУБЛИКА АЛТАЙ	ALTAI REPUBLIC	3	1000007	Розничный аудит
1017000	РЕСПУБЛИКА ТЫВА	TYVA REPUBLIC	3	1000007	Розничный аудит
1019000	РЕСПУБЛИКА ХАКАСИЯ	KHAKASSIA REPUBLIC	3	1000007	Розничный аудит
1022000	АЛТАЙСКИЙ КРАЙ	ALTAI REGION	3	1000007	Розничный аудит
1024000	КРАСНОЯРСКИЙ КРАЙ	KRASNOYARSK REGION	3	1000007	Розничный аудит
1038000	ИРКУТСКАЯ ОБЛАСТЬ	IRKUTSK REGION	3	1000007	Розничный аудит
1042000	КЕМЕРОВСКАЯ ОБЛАСТЬ	KEMEROVO REGION	3	1000007	Розничный аудит
1054000	НОВОСИБИРСКАЯ ОБЛАСТЬ	NOVOSIBIRSK REGION	3	1000007	Розничный аудит
1055000	ОМСКАЯ ОБЛАСТЬ	OMSK REGION	3	1000007	Розничный аудит
1070000	ТОМСКАЯ ОБЛАСТЬ	TOMSK REGION	3	1000007	Розничный аудит
1003000	РЕСПУБЛИКА БУРЯТИЯ	BURYATIA REPUBLIC	3	1000008	Розничный аудит
1014000	РЕСПУБЛИКА САХА (ЯКУТИЯ)	SAKHA REPUBLIC (JAKUTIA)	3	1000008	Розничный аудит
1025000	ПРИМОРСКИЙ КРАЙ	PRIMORYE REGION	3	1000008	Розничный аудит
1027000	ХАБАРОВСКИЙ КРАЙ	KHABAROVSK REGION	3	1000008	Розничный аудит
1028000	АМУРСКАЯ ОБЛАСТЬ	AMUR REGION	3	1000008	Розничный аудит
1041000	КАМЧАТСКИЙ КРАЙ	KAMCHATKA REGION	3	1000008	Розничный аудит
1049000	МАГАДАНСКАЯ ОБЛАСТЬ	MAGADAN REGION	3	1000008	Розничный аудит
1065000	САХАЛИНСКАЯ ОБЛАСТЬ	SAKHALIN REGION	3	1000008	Розничный аудит
1075000	ЗАБАЙКАЛЬСКИЙ КРАЙ	TRANS-BAIKAL REGION	3	1000008	Розничный аудит
1079000	ЕВРЕЙСКАЯ АВТ. ОБЛАСТЬ	JEWISH AUT. REGION	3	1000008	Розничный аудит
1087000	ЧУКОТСКИЙ АВТ. ОКРУГ	CHUKOTKA AUT. DISTRICT	3	1000008	Розничный аудит
1082000	РЕСПУБЛИКА КРЫМ	REPUBLIC OF CRIMEA	3	1000009	Розничный аудит
1092000	Г. СЕВАСТОПОЛЬ	SEVASTOPOL	3	1000009	Розничный аудит
